* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-07-09 18:38:45 PM CST
* Date Modified = 2018-07-09 20:35:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = H:\Spring_Work\35. Data\2018-5-30 pathogen qPCR\2018-07-09 183809.eds
* Experiment Name = 2018-07-09 183809
* Experiment Run Start Time = 2018-07-10 02:54:59 AM CST
* Experiment Run Stop Time = 2018-07-10 04:48:33 AM CST
* Experiment Type = Relative Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Amplification Data]
Well	Cycle	Target Name	Rn	Delta Rn
1	1	O157	0.119	0.001
1	2	O157	0.119	0.001
1	3	O157	0.118	0.000
1	4	O157	0.118	0.000
1	5	O157	0.118	0.000
1	6	O157	0.118	0.001
1	7	O157	0.118	0.001
1	8	O157	0.117	0.000
1	9	O157	0.116	-0.000
1	10	O157	0.116	0.000
1	11	O157	0.116	0.000
1	12	O157	0.116	0.000
1	13	O157	0.116	0.000
1	14	O157	0.115	-0.000
1	15	O157	0.114	-0.001
1	16	O157	0.114	-0.001
1	17	O157	0.113	-0.001
1	18	O157	0.113	-0.001
1	19	O157	0.113	-0.000
1	20	O157	0.112	-0.001
1	21	O157	0.112	-0.002
1	22	O157	0.111	-0.002
1	23	O157	0.111	-0.001
1	24	O157	0.112	-0.001
1	25	O157	0.112	0.000
1	26	O157	0.114	0.002
1	27	O157	0.116	0.005
1	28	O157	0.119	0.008
1	29	O157	0.128	0.017
1	30	O157	0.143	0.032
1	31	O157	0.173	0.063
1	32	O157	0.233	0.123
1	33	O157	0.347	0.237
1	34	O157	0.557	0.447
1	35	O157	0.904	0.794
1	36	O157	1.399	1.289
1	37	O157	1.957	1.848
1	38	O157	2.436	2.327
1	39	O157	2.801	2.692
1	40	O157	3.038	2.929
2	1	O157	0.101	0.003
2	2	O157	0.101	0.003
2	3	O157	0.101	0.002
2	4	O157	0.100	0.002
2	5	O157	0.099	0.001
2	6	O157	0.098	0.000
2	7	O157	0.098	-0.000
2	8	O157	0.098	0.000
2	9	O157	0.098	0.000
2	10	O157	0.099	0.001
2	11	O157	0.098	0.000
2	12	O157	0.097	-0.001
2	13	O157	0.096	-0.002
2	14	O157	0.096	-0.002
2	15	O157	0.097	-0.000
2	16	O157	0.097	-0.000
2	17	O157	0.096	-0.001
2	18	O157	0.096	-0.001
2	19	O157	0.096	-0.001
2	20	O157	0.096	-0.001
