* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-07-09 18:38:45 PM CST
* Date Modified = 2018-07-09 20:35:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = H:\Spring_Work\35. Data\2018-5-30 pathogen qPCR\2018-07-09 183809.eds
* Experiment Name = 2018-07-09 183809
* Experiment Run Start Time = 2018-07-10 02:54:59 AM CST
* Experiment Run Stop Time = 2018-07-10 04:48:33 AM CST
* Experiment Type = Relative Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
1	A1	1	75.065	1.578	0.597
1	A1	2	75.145	1.529	0.606
1	A1	3	75.224	1.467	0.616
1	A1	4	75.303	1.416	0.625
1	A1	5	75.382	1.360	0.632
1	A1	6	75.461	1.296	0.635
1	A1	7	75.540	1.241	0.636
1	A1	8	75.620	1.183	0.634
1	A1	9	75.699	1.129	0.629
1	A1	10	75.778	1.074	0.623
1	A1	11	75.857	1.019	0.614
1	A1	12	75.936	0.966	0.605
1	A1	13	76.015	0.908	0.593
1	A1	14	76.095	0.858	0.581
1	A1	15	76.174	0.811	0.567
1	A1	16	76.253	0.757	0.552
1	A1	17	76.332	0.709	0.536
1	A1	18	76.411	0.662	0.518
1	A1	19	76.490	0.615	0.498
1	A1	20	76.570	0.574	0.477
1	A1	21	76.649	0.532	0.455
1	A1	22	76.728	0.492	0.431
1	A1	23	76.807	0.454	0.407
1	A1	24	76.886	0.420	0.382
1	A1	25	76.965	0.389	0.357
1	A1	26	77.045	0.359	0.333
1	A1	27	77.124	0.331	0.309
1	A1	28	77.203	0.305	0.285
1	A1	29	77.282	0.283	0.262
1	A1	30	77.361	0.262	0.240
1	A1	31	77.440	0.242	0.219
1	A1	32	77.520	0.223	0.199
1	A1	33	77.599	0.206	0.179
1	A1	34	77.678	0.194	0.161
1	A1	35	77.757	0.182	0.144
1	A1	36	77.836	0.169	0.128
1	A1	37	77.915	0.159	0.113
1	A1	38	77.995	0.151	0.100
1	A1	39	78.074	0.143	0.088
1	A1	40	78.153	0.136	0.077
1	A1	41	78.232	0.131	0.067
1	A1	42	78.311	0.126	0.059
1	A1	43	78.390	0.122	0.052
1	A1	44	78.470	0.120	0.046
1	A1	45	78.549	0.114	0.040
1	A1	46	78.628	0.110	0.036
1	A1	47	78.707	0.110	0.032
1	A1	48	78.786	0.107	0.028
1	A1	49	78.865	0.104	0.024
